title,vote_average,vote_count,release_date,revenue,overview,poster_path,youtubeId
Iron Man 2,6.835,19756,2010-04-28,623933331,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg,BoohRoVA9WQ
Batman Begins,7.701,19561,2005-06-10,374218673,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",/4MpN4kIEqUjW8OPtOQJXlTdHiJV.jpg,lu2ecPMX0kI
Harry Potter and the Goblet of Fire,7.816,19287,2005-11-16,895921036,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg,PFWAOnvMd1Q
Pirates of the Caribbean: The Curse of the Black Pearl,7.794,19233,2003-07-09,655011224,"Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.",/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg,naQr0uTrH_s
Harry Potter and the Deathly Hallows: Part 2,8.105,19183,2011-07-12,1341511219,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,I_kDb-pRCds
Up,7.949,18857,2009-05-28,735099082,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",/vpbaStTMt8qqXaEgnOR2EE4DNJk.jpg,YOOIK0baLvM
Back to the Future,8.314,18442,1985-07-03,381109762,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,AM28GvL8oCM
Harry Potter and the Order of the Phoenix,7.686,18177,2007-07-08,938212738,"Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students to defend themselves against the dark arts.",/5aOyriWkPec0zUDxmHFP9qMmBaj.jpg,63KfQ88rtiI
Harry Potter and the Half-Blood Prince,7.697,18127,2009-07-15,933959197,"As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.",/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,6EHZeOP6Ap4
Finding Nemo,7.824,18061,2003-05-30,940335536,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",/ggQ6o8X5984OCh3kZi2UIJQJY5y.jpg,SPHfeNgogVs
John Wick,7.421,17923,2014-10-22,88761661,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,/fZPSd91yGE9fCcCe6OoQr6E3Bev.jpg,RllJtOw0USI
Harry Potter and the Deathly Hallows: Part 1,7.763,17782,2010-11-17,954305868,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",/iGoXIpQb7Pot00EEdwpwPajheZ5.jpg,YbfMgvgR9NI
Captain America: The Winter Soldier,7.671,17692,2014-03-20,714766572,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.",/tVFRpFw3xTedgPGqxW0AOI8Qhh0.jpg,tbayiPxkUMM
Spider-Man,7.279,17653,2002-05-01,821708551,"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.",/gh4cZbhZxyTbgxQPxD0dOudNPTn.jpg,HvixSN4bqlM
WALL·E,8.078,17446,2008-06-22,521311860,"What if mankind had to leave Earth and somebody forgot to turn the last robot off? After hundreds of years doing what he was built for, WALL•E discovers a new purpose in life when he meets a sleek search robot named EVE. EVE comes to realize that WALL•E has inadvertently stumbled upon the key to the planet's future, and races back to space to report to the humans. Meanwhile, WALL•E chases EVE across the galaxy and sets into motion one of the most imaginative adventures ever brought to the big screen.",/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg,8-_9n5DtKOc
Gone Girl,7.892,17381,2014-10-01,369330363,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",/qymaJhucquUwjpb8oiqynMeXnID.jpg,JU9PdgB3rsk
"Monsters, Inc.",7.835,17189,2001-11-01,579707738,"Lovable Sulley and his wisecracking sidekick Mike Wazowski are the top scare team at Monsters, Inc., the scream-processing factory in Monstropolis. When a little girl named Boo wanders into their world, it's the monsters who are scared silly, and it's up to Sulley and Mike to keep her out of sight and get her back home.",/sgheSKxZkttIe8ONsf2sWXPgip3.jpg,Ue_SfrHHBAc
Toy Story,7.971,17152,1995-10-30,394400000,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,K26_sDKnvMU
Parasite,8.515,16430,2019-05-30,257591776,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,pFlQJoiC2nY
Thor: The Dark World,6.538,16359,2013-10-30,644783140,"Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.",/wp6OxE4poJ4G7c0U2ZIXasTSMR7.jpg,npvJ9FTgZbM
Kill Bill: Vol. 1,7.97,16188,2003-10-10,180906076,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,3sbKt3ptUJo
Shrek,7.73,15765,2001-05-18,487853320,"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",/dyhaB19AICF7TO7CK2aD6KfymnQ.jpg,W37DlG1i61s
Ratatouille,7.809,15728,2007-06-28,623726000,"Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.",/t3vaWRPSf6WjDSamIkKDs1iQWna.jpg,jOGDozdW9Yo
Kingsman: The Secret Service,7.636,15664,2014-12-13,414351546,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,/ay7xwXn1G9fzX9TUBlkGA584rGi.jpg,kl8F-8tR8to
Jurassic Park,7.941,15141,1993-06-11,920100000,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",/oU7Oq2kFAAlGqbU4VoAE36g4hoI.jpg,QWBKEmWWL38
Pirates of the Caribbean: Dead Man's Chest,7.346,14868,2006-07-06,1065659812,Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.,/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg,elqO-GNfStM
The Hunger Games: Mockingjay - Part 1,6.796,14725,2014-11-19,755356711,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,/4FAA18ZIja70d1Tu5hr5cj2q1sB.jpg,C_Tsj_wTJkQ
I Am Legend,7.201,14675,2007-12-12,585410052,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",/iPDkaSdKk2jRLTM65UOEoKtsIZ8.jpg,dtKMEAXyPkg
Schindler's List,8.573,14594,1993-12-15,321365567,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,bJcLRFWxRno
Skyfall,7.227,14466,2012-10-24,1142471295,"When Bond's latest assignment goes gravely wrong, agents around the world are exposed and MI6 headquarters is attacked. While M faces challenges to her authority and position from Gareth Mallory, the new Chairman of the Intelligence and Security Committee, it's up to Bond, aided only by field agent Eve, to locate the mastermind behind the attack.",/d0IVecFQvsGdSbnMAHqiYsNYaJT.jpg,6kw1UVovByw
X-Men: Days of Future Past,7.5,14433,2014-05-15,747862775,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,/tYfijzolzgoMOtegh1Y7j2Enorg.jpg,gsjtg7m1MMM
World War Z,6.807,14409,2013-06-20,531865000,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",/1SWBSYJsnyhdNRfLI1T6RsCxAQ4.jpg,sGf_WdlHTqs
Man of Steel,6.614,14310,2013-06-12,668045518,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",/dksTL9NXc3GqPBRHYHcy1aIwjS.jpg,KVu3gS7iJu4
Despicable Me,7.227,14147,2010-07-08,533679475,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",/b1BT309QWjtFUlJPLmXmrcHOWEL.jpg,RXZY_XRjABs
Spider-Man 2,7.258,14096,2004-06-25,788976453,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood. A certain anger begins to brew in his best friend Harry Osborn as well...",/olxpyq9kJAZ2NU1siLshhhXEPR7.jpg,HUZmOnPRORk
Charlie and the Chocolate Factory,7.04,13967,2005-07-13,474968763,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",/wfGfxtBkhBzQfOZw4S8IQZgrH0a.jpg,FZkIlAEbHi4
Whiplash,8.381,13891,2014-10-10,13092000,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",/7fn624j5lj3xTme2SgiLCeuedmO.jpg,7d_jQycdQGo
Toy Story 3,7.792,13777,2010-06-16,1066969703,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg,TNMpa5yBf5o
Eternal Sunshine of the Spotless Mind,8.101,13709,2004-03-19,72258126,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,xItkiEbPvQw
V for Vendetta,7.897,13556,2006-02-23,132511035,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",/1avD1JeaRiJX5M4ahPdZPypGoGN.jpg,ZR5xUl2Suew
Star Wars: Episode I - The Phantom Menace,6.5,13550,1999-05-19,924317558,"Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.",/6wkfovpn7Eq8dYNKaG5PY3q2oq6.jpg,bD7bpG-zDJQ
Her,7.862,13407,2013-12-18,47351251,"In the not so distant future, Theodore, a lonely writer, purchases a newly developed operating system designed to meet the user's every need. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",/eCOtqtfvn7mxGl6nfmq4b1exJRc.jpg,ne6p6MfLBxc
Pirates of the Caribbean: At World's End,7.239,13345,2007-05-19,961000000,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",/jGWpG4YhpQwVmjyHEGkxEkeRf0S.jpg,HKSZtp_OGHY
The Hobbit: The Battle of the Five Armies,7.309,13301,2014-12-10,956019788,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",/xT98tLqatZPQApyRmlPL12LtiWp.jpg,ZSzeFFsKEt4
Alien,8.147,13206,1979-05-25,104931801,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,097uj1HjkbM
Pirates of the Caribbean: On Stranger Tides,6.538,13126,2011-05-15,1045713802,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",/keGfSvCmYj7CvdRx36OdVrAEibE.jpg,aKCSNiCzUSA
Spider-Man 3,6.398,13098,2007-05-01,894983373,"The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg,PCmMLfXdURs
Cars,6.936,12906,2006-06-08,461983149,"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.",/abW5AzHDaIK1n9C36VdAeOwORRA.jpg,_z-gerHEq6c
Toy Story 2,7.589,12904,1999-10-30,497366869,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.",/2MFIhZAW0CVlEQrFyqwa4U6zqJP.jpg,Lu0sotERXhI
Edge of Tomorrow,7.606,12828,2014-05-27,370541256,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",/xjw5trHV7Mwo61P0kCTy8paEkgO.jpg,yUmSVcttXnI
300,7.175,12812,2007-03-07,456082343,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.",/h7Lcio0c9ohxPhSZg42eTlKIVVY.jpg,UrIbxk7idYA
Blade Runner,7.931,12770,1982-06-25,41722424,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",/fwhLegA6z40W0DIy6EGXhzDzlOP.jpg,hadlN0IrXq8
Star Wars: Episode III - Revenge of the Sith,7.411,12753,2005-05-17,850000000,The evil Darth Sidious enacts his final plan for unlimited power -- and the heroic Jedi Anakin Skywalker must choose a side.,/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg,5UnjrG_N8hU
Maleficent,7.09,12477,2014-05-28,758539785,"A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land.  Maleficent rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom – and to Maleficent's true happiness as well.",/bDG3yei6AJlEAK3A5wN7RwFXQ7V.jpg,w-XO4XiRop0
Passengers,6.934,12429,2016-12-21,303144152,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",/jK9S6HANSf2no64v1x1HxfcpmcA.jpg,Qj2pXJPNAW4
Life of Pi,7.398,12426,2012-11-20,609016565,"The story of an Indian boy named Pi, a zookeeper's son who finds himself in the company of a hyena, zebra, orangutan, and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean.",/iLgRu4hhSr6V1uManX6ukDriiSc.jpg,j9Hjrs6WQ8M
The Amazing Spider-Man 2,6.498,12349,2014-04-16,708962323,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",/c3e9e18SSlvFd1cQaGmUj5tqL5P.jpg,DlM2CWNTQ84
Ice Age,7.348,12296,2002-03-10,383257136,"With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.",/gLhHHZUzeseRXShoDyC4VqLgsNv.jpg,CZShn0PZiYU
Divergent,6.92,12118,2014-03-14,288885818,"In a world divided into factions based on personality types, Tris learns that she's been classified as Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",/aNh4Q3iuPKDMPi2SL7GgOpiLukX.jpg,7vp-vAX33QI
American Sniper,7.427,12107,2014-12-25,542307423,"U.S. Navy SEAL Chris Kyle takes his sole mission—protect his comrades—to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind.",/i1U46OwMc6vlm7OoSUKfqUH615e.jpg,5bP1f_1o-zo
How to Train Your Dragon,7.813,12089,2010-03-18,494879471,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.",/ygGmAO60t8GyqUo9xYeYxSZAR3b.jpg,IT_ufPxiXl8
X-Men: First Class,7.296,11986,2011-06-01,353624124,"Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Before they were arch-enemies, they were closest of friends, working together with other mutants (some familiar, some new), to stop the greatest threat the world has ever known.",/vUvlOY575rztBuJV3a0dbHW5MQR.jpg,o8ccSiH4olo
