movie_title,cinema_name,date_time
Nacho Libre,CineStar Plaza,2024-09-08 10:48:26
John Dies at the End,CineLux,2024-09-18 20:58:26
Exporting Raymond,Galaxy Cinema,2024-08-30 22:46:06
Agent Cody Banks 2: Destination London,CineLux,2024-09-21 11:28:45
We Bought a Zoo,CineLux,2024-09-04 12:59:23
Love Actually,CineStar Plaza,2024-09-16 10:36:15
Watchmen,Galaxy Cinema,2024-09-25 20:27:02
Night at the Museum: Secret of the Tomb,Starlight Theatre,2024-09-06 06:07:08
Everything Is Illuminated,CineStar Plaza,2024-09-11 18:12:39
Enduring Love,Riviera Cinema,2024-09-21 07:49:00
Pete's Dragon,Starlight Theatre,2024-09-05 03:19:12
Whiplash,Starlight Theatre,2024-09-11 19:26:10
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Galaxy Cinema,2024-09-11 12:25:15
Aquamarine,CineStar Plaza,2024-09-12 12:23:35
Kahaani,Galaxy Cinema,2024-09-25 22:47:53
Ocean's Eleven,Grand View Cinema,2024-09-09 12:52:47
Must Love Dogs,Regal Cinema,2024-09-19 06:32:26
Return to Oz,CineLux,2024-09-02 15:05:45
In Too Deep,Riviera Cinema,2024-09-15 19:03:05
Slaughterhouse-Five,CineStar Plaza,2024-09-11 03:12:10
Grown Ups 2,Grand View Cinema,2024-08-31 11:49:05
Fool's Gold,CineStar Plaza,2024-09-04 04:27:15
Michael Clayton,Silver Screen Cinema,2024-09-23 23:15:31
Turbo,Starlight Theatre,2024-09-01 02:33:59
Ultraviolet,Silver Screen Cinema,2024-09-21 09:36:31
Fun and Fancy Free,CineStar Plaza,2024-09-11 07:35:42
Ramona and Beezus,Riviera Cinema,2024-09-26 03:42:24
Dedication,Silver Screen Cinema,2024-09-09 13:19:15
Resident Evil: Retribution,Silver Screen Cinema,2024-09-13 17:58:41
Freedomland,Silver Screen Cinema,2024-09-24 20:53:38
Shut Up and Play the Hits,Silver Screen Cinema,2024-09-03 12:11:09
(500) Days of Summer,Riviera Cinema,2024-09-23 16:48:48
Tinker Bell and the Lost Treasure,Starlight Theatre,2024-09-13 20:04:04
Wrath of the Titans,Riviera Cinema,2024-09-01 07:41:31
Outside the Law,Regal Cinema,2024-09-04 20:53:50
Miss Nobody,Galaxy Cinema,2024-09-04 18:38:30
You Kill Me,Riviera Cinema,2024-09-24 20:30:57
Siberia,Regal Cinema,2024-09-25 14:21:47
Cocktail,Riviera Cinema,2024-08-30 00:00:10
Hero,Starlight Theatre,2024-09-03 04:29:13
Phantasm III: Lord of the Dead,Regal Cinema,2024-09-16 19:19:20
On the Road,Silver Screen Cinema,2024-09-13 02:36:41
Lupin the 3rd,Silver Screen Cinema,2024-09-07 14:17:26
Missing,Regal Cinema,2024-09-14 13:14:31
Black Dynamite,Silver Screen Cinema,2024-09-03 18:26:55
Stone,Regal Cinema,2024-09-26 04:44:35
Django Unchained,Riviera Cinema,2024-09-12 05:48:48
The Hunger Games: Mockingjay - Part 1,Regal Cinema,2024-09-21 20:29:36
Dare,CineLux,2024-09-15 20:04:29
I Sell the Dead,Starlight Theatre,2024-09-06 04:04:16
Friends with Kids,Silver Screen Cinema,2024-09-24 15:59:20
Sharknado 2: The Second One,Grand View Cinema,2024-09-14 03:01:09
Amy,CineStar Plaza,2024-08-30 10:22:20
Jeepers Creepers 2,Galaxy Cinema,2024-09-25 04:18:21
Latter Days,Silver Screen Cinema,2024-09-09 17:57:07
Snow White and the Seven Dwarfs,CineLux,2024-08-29 15:51:14
Orgazmo,Silver Screen Cinema,2024-09-03 01:30:08
The Disappearance of Eleanor Rigby: Her,Grand View Cinema,2024-09-15 21:25:03
Cousins,Galaxy Cinema,2024-09-11 12:28:42
Prince of Darkness,Grand View Cinema,2024-09-04 09:57:07
Bring It On,Grand View Cinema,2024-08-29 00:27:49
Son of Rambow,Galaxy Cinema,2024-09-17 01:06:20
Planes: Fire & Rescue,Galaxy Cinema,2024-09-09 14:26:23
Resident Evil: Afterlife,Starlight Theatre,2024-09-18 19:07:38
Chasing Christmas,Riviera Cinema,2024-09-21 11:22:48
Point Break,Silver Screen Cinema,2024-09-09 03:10:29
Love Actually,CineStar Plaza,2024-09-01 00:50:04
Dope,Silver Screen Cinema,2024-09-26 10:33:15
When Marnie Was There,Silver Screen Cinema,2024-09-07 06:19:03
Saving Lincoln,CineLux,2024-09-06 02:07:48
Shooting Fish,CineStar Plaza,2024-09-01 15:11:44
Good Luck Chuck,Riviera Cinema,2024-09-05 11:52:57
Shock Treatment,Silver Screen Cinema,2024-09-20 18:51:11
Die Hard 2,Silver Screen Cinema,2024-09-18 13:43:32
Game 6,Grand View Cinema,2024-09-21 12:19:17
Rocky V,Riviera Cinema,2024-09-07 08:29:37
Death Proof,Regal Cinema,2024-09-17 22:12:01
Memoirs of an Invisible Man,Regal Cinema,2024-09-07 07:11:12
Star Wars: The Clone Wars,Regal Cinema,2024-09-08 13:27:02
Soul Surfer,Riviera Cinema,2024-09-18 20:35:39
Jumping the Broom,Regal Cinema,2024-09-17 10:53:42
Animal Kingdom,CineStar Plaza,2024-09-09 00:54:48
Return to Oz,Silver Screen Cinema,2024-09-15 06:10:20
Monsoon Wedding,Grand View Cinema,2024-09-16 21:33:59
Good Luck Chuck,CineLux,2024-09-13 03:04:20
Touki Bouki,Galaxy Cinema,2024-09-02 21:29:38
The DUFF,Riviera Cinema,2024-09-05 07:10:26
Black Nativity,CineStar Plaza,2024-08-30 16:42:12
Never Let Me Go,Riviera Cinema,2024-09-26 17:05:38
K-PAX,Grand View Cinema,2024-09-19 10:07:48
Management,CineStar Plaza,2024-08-29 19:59:06
Click,Starlight Theatre,2024-09-18 22:03:21
Planes: Fire & Rescue,Starlight Theatre,2024-09-05 22:29:13
Children of the Night,CineStar Plaza,2024-09-22 23:57:04
Expelled from Paradise,Grand View Cinema,2024-09-19 19:44:59
Splice,Galaxy Cinema,2024-09-05 05:26:58
Willy Wonka & the Chocolate Factory,Galaxy Cinema,2024-09-16 12:31:45
Elles,Galaxy Cinema,2024-09-20 22:22:50
Old Dogs,Galaxy Cinema,2024-09-10 21:51:29
Bickford Shmeckler's Cool Ideas,Silver Screen Cinema,2024-09-08 12:27:08
Annabelle,Grand View Cinema,2024-09-17 07:26:01
Real Genius,Starlight Theatre,2024-09-14 03:58:42
Tiny Furniture,Starlight Theatre,2024-09-19 08:48:07
Mars Attacks!,Silver Screen Cinema,2024-09-08 22:46:08
Cowspiracy: The Sustainability Secret,CineStar Plaza,2024-09-24 14:45:29
Crazy, Stupid, Love.,Grand View Cinema,2024-09-07 04:21:00
Million Dollar Baby,Galaxy Cinema,2024-09-02 12:47:13
Pride & Prejudice,Grand View Cinema,2024-09-19 02:28:19
Valentine's Day,Grand View Cinema,2024-08-29 06:39:12
My Bloody Valentine,Grand View Cinema,2024-09-09 22:42:13
Hustle,Riviera Cinema,2024-09-19 14:28:54
Happy Feet Two,Regal Cinema,2024-08-31 02:39:10
Sebastian,Grand View Cinema,2024-08-30 10:44:21
Michael Clayton,Galaxy Cinema,2024-09-24 06:14:31
Terminator 3: Rise of the Machines,Galaxy Cinema,2024-09-01 12:09:20
From Within,Galaxy Cinema,2024-09-24 04:48:40
St. Vincent,Silver Screen Cinema,2024-09-10 04:12:10
It's Kind of a Funny Story,CineStar Plaza,2024-08-30 10:20:16
R100,Starlight Theatre,2024-09-05 08:55:08
Mindhunters,Starlight Theatre,2024-08-30 11:15:02
Sharkwater,Grand View Cinema,2024-09-12 09:04:19
Grand Isle,CineLux,2024-09-19 14:39:25
I'm Not There,Riviera Cinema,2024-09-25 18:18:44
Tokyo Godfathers,CineStar Plaza,2024-09-06 08:25:49
Bride Flight,Starlight Theatre,2024-09-07 19:50:57
Hella W,Starlight Theatre,2024-09-25 20:49:36
Rings,Silver Screen Cinema,2024-09-13 11:25:47
My Life in Ruins,Riviera Cinema,2024-09-15 06:52:29
Cloudy with a Chance of Meatballs,Starlight Theatre,2024-09-26 09:04:39
Cloudy with a Chance of Meatballs,Riviera Cinema,2024-09-01 06:31:05
We Can Be Heroes,CineLux,2024-09-24 12:00:45
Iron Man 3,Regal Cinema,2024-09-18 12:39:00
Colombiana,Galaxy Cinema,2024-09-10 03:48:35
Nacho Libre,Regal Cinema,2024-09-03 08:59:13
Exit Wounds,Regal Cinema,2024-09-10 18:31:52
Special,Silver Screen Cinema,2024-09-19 08:22:51
Constantine,CineLux,2024-09-11 14:13:36
Best in Show,Grand View Cinema,2024-09-14 11:11:21
Duplicity,Silver Screen Cinema,2024-08-31 16:15:11
Seven Pounds,CineLux,2024-09-02 00:43:21
Dream Team 1935,CineLux,2024-09-25 22:44:52
Short Term 12,Grand View Cinema,2024-09-17 07:07:57
Bellflower,CineStar Plaza,2024-09-03 23:19:31
Infamous,Riviera Cinema,2024-09-11 22:44:48
Paranormal Activity 2,Riviera Cinema,2024-09-23 10:12:37
Superman/Batman: Public Enemies,Silver Screen Cinema,2024-09-16 01:48:49
Side by Side,CineStar Plaza,2024-09-13 16:23:58
The Missing,Galaxy Cinema,2024-09-02 10:10:07
Phantasm IV: Oblivion,Regal Cinema,2024-09-21 23:44:11
Kill Bill: Vol. 1,Galaxy Cinema,2024-09-21 12:19:49
Picnic at Hanging Rock,Riviera Cinema,2024-09-22 08:37:20
Diner,CineLux,2024-09-13 17:49:30
What Just Happened,CineLux,2024-09-05 05:25:45
Blazing Saddles,Silver Screen Cinema,2024-09-01 01:15:15
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Silver Screen Cinema,2024-09-11 06:22:09
Our Idiot Brother,Starlight Theatre,2024-09-06 01:08:42
Into the Wild,Galaxy Cinema,2024-09-16 17:52:39
Detroit,CineLux,2024-09-09 12:48:00
Remember Sunday,Starlight Theatre,2024-09-02 00:50:23
Picnic at Hanging Rock,CineStar Plaza,2024-09-02 18:50:19
Transamerica,Starlight Theatre,2024-09-25 07:35:42
Surrogates,Riviera Cinema,2024-09-18 07:10:37
Star Wars: The Clone Wars,Galaxy Cinema,2024-09-18 05:17:00
In the Land of Blood and Honey,Silver Screen Cinema,2024-09-17 16:05:44
Planes: Fire & Rescue,Grand View Cinema,2024-09-19 08:53:08
Grabbers,Riviera Cinema,2024-09-07 05:01:55
Best in Show,Riviera Cinema,2024-09-13 02:48:49
Miami Connection,Silver Screen Cinema,2024-09-13 08:54:06
Shut Up and Play the Hits,CineStar Plaza,2024-09-07 05:18:26
Ceremony,Starlight Theatre,2024-09-23 21:36:59
Calendar Girls,Regal Cinema,2024-09-24 13:46:01
Bad Santa,CineStar Plaza,2024-09-07 09:18:57
Centurion,Galaxy Cinema,2024-09-17 02:03:50
Return to Oz,Riviera Cinema,2024-09-24 21:17:14
How High,Regal Cinema,2024-09-05 18:21:40
Time Changer,Silver Screen Cinema,2024-09-22 12:18:23
Little Men,Silver Screen Cinema,2024-09-08 09:17:33
Her,Riviera Cinema,2024-09-02 01:35:17
Fantasia,Regal Cinema,2024-09-14 05:24:20
Eraser,CineStar Plaza,2024-09-05 16:52:15
Ben-Hur,Riviera Cinema,2024-09-04 06:48:25
Half Past Dead,Starlight Theatre,2024-09-07 13:02:48
Free to Play,Silver Screen Cinema,2024-09-16 03:59:39
Calendar Girls,CineLux,2024-09-01 05:55:30
Dreamcatcher,Starlight Theatre,2024-09-10 03:12:23
Last Man Standing,CineStar Plaza,2024-09-11 06:44:10
On Her Majesty's Secret Service,Silver Screen Cinema,2024-09-15 22:09:36
Bee Movie,CineStar Plaza,2024-09-22 22:20:31
Shooting Fish,Starlight Theatre,2024-09-25 23:15:29
Mutant Aliens,Galaxy Cinema,2024-09-26 18:22:45
Obsessed,Riviera Cinema,2024-09-16 01:45:01
Predators,Galaxy Cinema,2024-08-29 08:16:39
Che: Part Two,CineLux,2024-09-20 13:30:49
No End in Sight,Silver Screen Cinema,2024-09-13 20:01:45
Blade,Galaxy Cinema,2024-08-29 00:09:34
Marley & Me,Grand View Cinema,2024-09-02 04:11:38
Guardians of the Galaxy,CineLux,2024-09-11 06:26:11
Cop Out,Silver Screen Cinema,2024-09-24 02:54:10
G.B.F.,CineLux,2024-09-21 17:46:26
School of Rock,Galaxy Cinema,2024-09-08 18:07:39
Amigo,Galaxy Cinema,2024-09-26 15:28:19
Entrapment,CineLux,2024-09-25 21:14:56
Descent,Starlight Theatre,2024-09-08 20:53:31
Wristcutters: A Love Story,Starlight Theatre,2024-09-02 04:57:22
Man of Steel,CineStar Plaza,2024-09-11 12:02:54
House of D,Regal Cinema,2024-09-10 13:57:34
Starship Troopers: Invasion,Silver Screen Cinema,2024-09-05 14:44:03
Nightmare Alley,Riviera Cinema,2024-08-30 06:04:00
New York,Silver Screen Cinema,2024-09-04 16:15:57
Basic Instinct,Regal Cinema,2024-09-23 06:08:48
Moneyball,Galaxy Cinema,2024-09-17 08:06:49
100 Feet,CineLux,2024-08-31 02:58:49
The Missing,Starlight Theatre,2024-09-10 21:07:01
Red Dog,CineStar Plaza,2024-09-26 22:04:35
Sin City: A Dame to Kill For,CineLux,2024-09-04 21:55:35
Doggiewoggiez! Poochiewoochiez!,Starlight Theatre,2024-09-15 09:21:24
That's My Boy,CineStar Plaza,2024-09-04 08:11:23
Half Nelson,Silver Screen Cinema,2024-09-26 11:33:03
Hancock,Regal Cinema,2024-09-03 22:08:01
Final Destination 5,CineLux,2024-09-22 12:29:21
Siberia,Galaxy Cinema,2024-09-25 00:55:53
Looking for Eric,Regal Cinema,2024-08-29 06:48:19
Project Almanac,CineLux,2024-09-13 16:24:40
Chasing Ice,Galaxy Cinema,2024-09-09 23:07:33
Heartless,Silver Screen Cinema,2024-09-16 15:50:06
A Merry Friggin' Christmas,Riviera Cinema,2024-09-02 22:05:09
Expelled from Paradise,CineStar Plaza,2024-08-29 05:46:07
Epitaph,Regal Cinema,2024-09-01 04:35:12
Surrogates,CineLux,2024-09-04 20:41:30
Harry Potter and the Half-Blood Prince,Regal Cinema,2024-09-01 16:08:17
Showtime,Grand View Cinema,2024-09-03 07:29:18
Larry Crowne,CineStar Plaza,2024-08-31 11:24:40
New York,Riviera Cinema,2024-08-30 07:11:35
